st,ct,as,sa
52,842,Dhayla,313334
52,842,Dhoinda,313335
52,842,Diyan,313704
52,842,Dowra,313330
52,842,Emdi,313335
52,842,Ganawal,313704
52,842,Gawaardi,313211
52,842,Goanguda,313321
52,842,Godhaji Ja Gaon,305921
52,842,Gogathala,313328
52,842,Gosundi,313332
52,842,Goval,313332
52,842,Gunjol,313334
52,842,Hamelon Ki Bar,313341
52,842,Isharmand,313331
52,842,Janawad,313333
52,842,Jeeran,313332
52,842,Jemli,313704
52,842,Jewana,313206
52,842,Jhilwara,313333
52,842,Jhor,313327
52,842,Jilola,313330
52,842,Jitawas,313328
52,842,Junda,313328
52,842,Kachhabali,313341
52,842,Kadia,313325
52,842,Kadmal,313322
52,842,Kakrod,313331
52,842,Kaladeh,305921
52,842,Kalaguman,313333
52,842,Kalesaria,313331
52,842,Kalinjar,313324
52,842,Kaliwas,313202
52,842,Kamol,313704
52,842,Kankrwa,313325
52,842,Kanooja,313325
52,842,Kesar,313325
52,842,Kessuli,313334
52,842,Khad Bamnia,313207
52,842,Khakharmala,313332
52,842,Khamlighat,313331
52,842,Kharnota,313333
52,842,Khartana,313206
52,842,Khatmala,313334
52,842,Kkundia,313207
52,842,Koyal,313324
52,842,Kuanthal,313332
52,842,Kukar Khera,305921
52,842,Kukra,305921
52,842,Kuncholi,313325
52,842,Kundwa,313331
52,842,Kunthwa,313334
52,842,Lakha Guda,313341
52,842,Lal Madri,313334
52,842,Lambodi,313333
52,842,Lapsia,313328
52,842,Lasani,313331
52,842,Liki,313332
52,842,Machind,313321
52,842,Mad,313332
52,842,Madaria,313331
52,842,Mahalon Ki Pipli,313324
52,842,Maja,313323
52,842,Majera,313325
52,842,Manakwas,313202
52,842,Manawaton Ka Guda,313333
52,842,Mandiyana,313334
52,842,Masatiyon Ki Madri,313324
52,842,Merda Khalsa,313334
52,842,Molela,313322
52,842,Morath,313206
52,842,Morcha,313321
52,842,Mundol,313324
52,842,Naogama,313335
52,842,Narana,313332
52,842,Nardaska Guda,313331
52,842,Nathdwara Chaupati,313301
52,842,Negadia,313202
52,842,Oda,313325
52,842,Odan,313334
52,842,Olanakhera,313330
52,842,Pachhamata,313207
52,842,Padasali,313334
52,842,Padrada,313704
52,842,Pakhand,313323
52,842,Palasma,313704
52,842,Panotia,313207
52,842,Pardi,313331
52,842,Pasund,313324
52,842,Pharara,313324
52,842,Phiyawadi,313327
52,842,Piparda,313324
52,842,Piplantri,313324
52,842,Pipli Ahiran,313327
52,842,Pipli Dadiyan,313329
52,842,Ranchhedi,313331
52,842,Roachh,313704
52,842,Sakrawas,313329
52,842,Saloda,313322
52,842,Salore,313334
52,842,Sameecha,313321
52,842,Samliya,305921
52,842,Sanghat Kalan,313324
52,842,Sansera,313329
52,842,Sapol,313334
52,842,Sathia,313333
52,842,Savadari,313331
52,842,Sayon Ka Khera,313324
52,842,Selaguda,313332
52,842,Sema,313322
52,842,Semad,313704
52,842,Semal,313322
